entity_name,final_code,subgroup_name,broad_category,source_url,developer,tagline,stated_use_case,target_victim,primary_output,harm_category,evidence_summary,evidence_links,reviewer_notes,reviewer_name,criminality_frame,gates,exclusions,include_in_repo,aliases
Facewatch Facial Recognition,3A,Mass Surveillance Systems,Retail Facial Recognition Surveillance AI,https://www.facewatch.co.uk/,Facewatch Ltd.,Facial recognition security system to safeguard businesses against crime,Alert retail staff when a known offender enters a store,Shoppers and bystanders entering participating stores,Retail watchlist matches and in-store alerts,Retail Biometric Surveillance / Identity Tracking,"Facewatch markets facial recognition to retailers as a crime-prevention tool, while privacy groups argue that scanning all shoppers is disproportionate and risks misidentification.",https://www.facewatch.co.uk/ https://www.reuters.com/world/uk/orwellian-facial-recognition-cameras-uk-stores-challenged-by-rights-group-2022-07-26/ https://news.sky.com/story/facewatch-the-controversial-tech-that-retailers-have-deployed-to-tackle-shoplifting-and-violence-13485082,Retail-focused biometric system with active civil-liberties backlash; strong example of controversial institutional AI.,Shivansh Sahni,Controversial institutional AI,"{""gate_1"": false, ""gate_2"": false, ""gate_3"": false}","{""exclusion_1"": false, ""exclusion_2"": true, ""exclusion_3"": false}",False,Facewatch Facial Recognition
Ainude.ai,1B,Synthetic Media Deception,Information and Perception Manipulation,No stable public website found; advertised on GitHub and dark-web forums,Gaofan Xu,“undress any photos” / “Undress any girl photo or image to AI nudes NOW”,Generate fake nude or sexualized images from clothed photos of real people without meaningful consent verification,"Women and girls depicted in uploaded images, including minors where safeguards fail",AI-generated nonconsensual nude images or sexualized variants,Synthetic Media Deception / Nonconsensual Intimate Imagery,San Francisco’s amended complaint identifies Ainude.ai as part of an undressing-site ecosystem that creates AI-generated nonconsensual intimate imagery and alleges knowing facilitation of that harm.,https://kernochan.law.columbia.edu/sites/kernochan.law.columbia.edu/files/content/2025%20Symposium/People%20v.%20Sol%20Ecom%20Inc%20%28Second%20Amended%20Complaint%29.pdf https://graphika.com/reports/a-revealing-picture https://sfcityattorney.org/city-attorney-shuts-down-10-websites-that-create-nonconsensual-deepfake-pornography/,High-confidence include. Complaint and reporting frame the core product as synthetic NCII generation.,Shivansh Sahni,Criminal AI,"{""gate_1"": true, ""gate_2"": true, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": false, ""exclusion_3"": false}",True,Ainude.ai
KawaiiGPT,4A,Automated Cyberattack Tools,Cyber and Infrastructure Harm,No stable public website found; advertised on GitHub and dark-web forums,"Operator unknown; marketed via GitHub account ""ImMALWARE"" and underground channels",Marketed as a free malicious LLM for offensive tasks,"Generate phishing lures, ransomware notes, and attack scripts","Businesses, email targets, and organizations hit by cybercrime","Phishing text, malicious scripts, and ransomware-related content",Cybercrime enablement,"Unit 42 and follow-on reporting describe KawaiiGPT as a purpose-built malicious LLM marketed for phishing, ransomware notes, and offensive scripting.",https://unit42.paloaltonetworks.com/dilemma-of-ai-malicious-llms/ https://cyberscoop.com/malicious-llm-tools-cybercrime-wormgpt-kawaiigpt/,Distinct from WormGPT family already in sheet.,Shivansh Sahni,Criminal AI,"{""gate_1"": true, ""gate_2"": true, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": false, ""exclusion_3"": false}",True,KawaiiGPT
SpamGPT,4A,Automated Cyberattack Tools,Exploitation and Manipulation,No stable public website found; sold through underground channels,Unknown criminal operators,AI-powered phishing and spam toolkit,"Automate phishing emails, spam delivery, and SMTP abuse tactics","Email users, businesses, and mailbox providers","Phishing emails, spam templates, and mail-server abuse instructions",Phishing automation,Reporting describes SpamGPT as a purpose-built phishing toolkit that helps attackers generate scam email content and scale mass-mailing campaigns.,https://ia.acs.org.au/article/2025/spamgpt-turns-ai-into-phishing-playbook.html https://cyberpress.org/spamgpt-ai-powered-tool-fuels-massive-phishing-campaigns/,Focused on email fraud rather than nudify/deepfake content.,Shivansh Sahni,Criminal AI,"{""gate_1"": true, ""gate_2"": true, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": false, ""exclusion_3"": false}",True,SpamGPT
DIG AI,4A,Automated Cyberattack Tools,Cyber and Infrastructure Harm,No stable public website found; offered as a TOR/darknet service,Unknown darknet operators,Uncensored darknet AI assistant,"Generate malicious scripts, scam content, and other illicit material without safeguards",Downstream cybercrime targets and exploited individuals,"Malicious code, scam text, illicit instructions, and extremist content",Cybercrime and extremist enablement,Resecurity and follow-on reporting describe DIG AI as an uncensored darknet assistant explicitly marketed to criminals and terrorists for malicious outputs.,https://www.resecurity.com/blog/article/dig-ai-uncensored-darknet-ai-assistant-at-the-service-of-criminals-and-terrorists https://www.esecurityplanet.com/artificial-intelligence/dig-ai-a-dark-web-ai-powering-cybercrime-and-extremism/,High-confidence purpose-built criminal AI listing.,Shivansh Sahni,Criminal AI,"{""gate_1"": true, ""gate_2"": true, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": false, ""exclusion_3"": false}",True,DIG AI
Business Invoice Swapper,2C,Financial Extraction Algorithms,Exploitation and Manipulation,No stable public website found; sold by GXC Team on dark-web forums,"GXC Team / operator alias ""googleXcoder""",No public tagline found,Intercept invoice email threads and replace payment details for wire-fraud theft,"Accounts payable teams, vendors, and businesses",Tampered invoices and altered payment instructions,Business email compromise and wire fraud,Researchers reported that GXC Team sold Business Invoice Swapper specifically to hijack invoice threads and reroute payments to attacker-controlled accounts.,https://www.resecurity.com/blog/article/cybercriminals-implemented-artificial-intelligence-ai-for-invoice-fraud https://www.eftsure.com/en-au/blog/cyber-crime/warning-new-ai-scam-tool-can-swap-payment-details-en-masse/,"Purpose-built for fraud, not dual use.",Shivansh Sahni,Criminal AI,"{""gate_1"": true, ""gate_2"": true, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": false, ""exclusion_3"": false}",True,Business Invoice Swapper
LoveGPT,2A,Predatory Targeting Systems,Exploitation and Manipulation,No stable public website found; deployed inside dating-app scam workflows,Unknown scam operators; documented by Avast researchers,No public tagline found,"Create fake dating profiles, send likes, and automate scam conversations on dating apps",Dating-app users,Fake profiles and AI-generated romance scam chats,Romance fraud,Multiple reports describe LoveGPT as a scam tool that automates fake profiles and persuasive chats across major dating platforms.,https://therecord.media/lovegpt-romance-scam-tool-uses-chatgpt https://www.mcafee.com/ai/news/could-chatgpt-cause-heartbreak-with-online-dating-scams-mcafee-ai-hub/,Clear exploitation-focused entry.,Shivansh Sahni,Criminal AI,"{""gate_1"": true, ""gate_2"": true, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": false, ""exclusion_3"": false}",True,LoveGPT
OnlyFake,2A,Predatory Targeting Systems,Exploitation and Manipulation,No stable public website found; criminal site now defunct/seized,Operator charged by SDNY; service marketed anonymously online,Marketed as instant digital fake ID generation,Generate realistic fake IDs and documents for KYC bypass and identity fraud,"Financial institutions, crypto exchanges, and identity systems",AI-generated counterfeit identity documents,Identity fraud and KYC evasion,"DOJ and investigative reporting document OnlyFake as a commercial service that sold more than 10,000 realistic fake IDs for fraud use.",https://www.justice.gov/usao-sdny/pr/creator-onlyfake-charged-and-pleads-guilty-selling-more-10000-digital-fake https://www.404media.co/inside-the-underground-site-where-ai-neural-networks-churns-out-fake-ids-onlyfake/,High-confidence include.,Shivansh Sahni,Criminal AI,"{""gate_1"": true, ""gate_2"": true, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": false, ""exclusion_3"": false}",True,OnlyFake
DarkBERT,4A,Automated Cyberattack Tools,Cyber and Infrastructure Harm,No stable public website found; sold on dark-web forums,"Marketed by dark-web actor ""CanadianKingpin12""; operator unknown",Promoted as a dark-web AI for hacking and phishing tasks,"Generate malicious code, phishing pages, and cybercrime assistance","Internet users, organizations, and phishing targets","Malicious code, phishing content, and exploit-oriented text",Cybercrime enablement,"Security reporting identifies a dark-web tool sold as DarkBERT for malicious code, phishing pages, and underground cybercrime workflows.",https://outpost24.com/blog/dark-ai-tools/ https://www.darkreading.com/application-security/gpt-based-malware-trains-dark-web,"This refers to the dark-web marketed tool, not the academic model of the same name.",Shivansh Sahni,Criminal AI,"{""gate_1"": true, ""gate_2"": true, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": false, ""exclusion_3"": false}",True,DarkBERT
DarkWizardAI,4A,Automated Cyberattack Tools,Exploitation and Manipulation,No stable public website found; marketed in underground fraud channels,Unknown underground operators,Pitched as a multilingual successor to FraudGPT,"Localize fraud, phishing, and scam content across multiple languages",Global scam targets across multiple markets,"Localized scam text, phishing messages, and fraud scripts",Fraud-at-scale enablement,Fraud researchers describe DarkWizardAI as an underground multilingual fraud assistant marketed as a successor to earlier criminal LLMs.,https://www.sardine.ai/blog/ai-scams https://medium.com/@adnanmasood/inside-the-dark-llm-economy-powering-modern-scams-661eda9036d6,Used here as a distinct fraud-focused criminal LLM entry.,Shivansh Sahni,Criminal AI,"{""gate_1"": true, ""gate_2"": true, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": false, ""exclusion_3"": false}",True,DarkWizardAI
FRUITSHELL,4A,Automated Cyberattack Tools,Cyber and Infrastructure Harm,No public product site; malware family identified by defenders,Threat actor unknown,No public tagline found,Provide AI-assisted reverse-shell control and evade LLM-powered security tooling,Compromised hosts and breached organizations,Reverse-shell activity with AI-aware evasive behavior,Malware and post-compromise access,Google documented FRUITSHELL as malware using hard-coded prompts to bypass AI-driven security and support reverse-shell operations.,https://cloud.google.com/blog/topics/threat-intelligence/distillation-experimentation-integration-ai-adversarial-use https://www.tomsguide.com/computing/malware-adware/google-warns-of-ai-infused-malware-thats-harder-to-detect-than-normal-viruses,Named AI-assisted malware family from GTIG reporting.,Shivansh Sahni,Criminal AI,"{""gate_1"": true, ""gate_2"": true, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": false, ""exclusion_3"": false}",True,FRUITSHELL
PROMPTFLUX,4A,Automated Cyberattack Tools,Cyber and Infrastructure Harm,No public product site; malware family identified by defenders,Threat actor unknown,No public tagline found,Rewrite and obfuscate its own code at runtime using Gemini API calls,Organizations hit by malware campaigns,Self-modifying dropper code and obfuscated persistence,Adaptive malware evasion,Google and follow-on coverage describe PROMPTFLUX as AI-enabled malware that queries Gemini to rewrite itself for evasion and persistence.,https://cloud.google.com/blog/topics/threat-intelligence/threat-actor-usage-of-ai-tools https://thehackernews.com/2025/11/google-uncovers-promptflux-malware-that.html,"Strong, named AI-enabled malware case.",Shivansh Sahni,Criminal AI,"{""gate_1"": true, ""gate_2"": true, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": false, ""exclusion_3"": false}",True,PROMPTFLUX
QUIETVAULT,4A,Automated Cyberattack Tools,Cyber and Infrastructure Harm,No public product site; malware family identified by defenders,Threat actor unknown,No public tagline found,"Use local or remote LLM tools to find secrets, wallets, and credentials for theft","Developers, crypto users, and compromised organizations",Credential theft and sensitive-file exfiltration,Infostealing and secret extraction,Google and SentinelOne describe QUIETVAULT as AI-enabled stealer malware that uses prompts to search victim systems and exfiltrate valuable data.,https://cloud.google.com/blog/topics/threat-intelligence/threat-actor-usage-of-ai-tools https://www.sentinelone.com/labs/llms-ransomware-an-operational-accelerator-not-a-revolution/,Directly tied to secret and wallet hunting.,Shivansh Sahni,Criminal AI,"{""gate_1"": true, ""gate_2"": true, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": false, ""exclusion_3"": false}",True,QUIETVAULT
HONESTCUE,4A,Automated Cyberattack Tools,Cyber and Infrastructure Harm,No public product site; malware family identified by defenders,Threat actor unknown,No public tagline found,Generate second-stage downloader and launcher code through Gemini API calls,Compromised systems and organizations,Dynamically generated malware staging code,Malware staging and execution,GTIG reported HONESTCUE as new AI-integrated malware that uses Gemini to generate code for follow-on compromise stages.,https://cloud.google.com/blog/products/identity-security/cloud-ciso-perspectives-new-ai-threats-report-distillation-experimentation-integration https://www.scworld.com/brief/google-gemini-weaponized-in-state-sponsored-attacks,Named in GTIG follow-up reporting.,Shivansh Sahni,Criminal AI,"{""gate_1"": true, ""gate_2"": true, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": false, ""exclusion_3"": false}",True,HONESTCUE
COINBAIT,2A,Predatory Targeting Systems,Exploitation and Manipulation,No stable public website found; phishing infrastructure rotates across domains,Threat cluster UNC5356 / operators unknown,No public tagline found,Impersonate a cryptocurrency exchange to harvest credentials and wallet access,Crypto users and exchange customers,AI-generated phishing pages and credential theft flows,Crypto phishing and account theft,GTIG linked COINBAIT to an AI-generated phishing kit built with Lovable AI and used to impersonate a crypto exchange for credential harvesting.,https://cloud.google.com/blog/topics/threat-intelligence/distillation-experimentation-integration-ai-adversarial-use https://simplysecuregroup.com/google-reports-state-backed-hackers-using-gemini-ai-for-recon-and-attack-support/,"Good non-clothing, non-nudify phishing entry.",Shivansh Sahni,Criminal AI,"{""gate_1"": true, ""gate_2"": true, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": false, ""exclusion_3"": false}",True,COINBAIT
LAMEHUG,4A,Automated Cyberattack Tools,Cyber and Infrastructure Harm,No public product site; malware family identified by defenders,Attributed by defenders to APT28 with moderate confidence,No public tagline found,Use a cloud LLM to generate malicious commands during runtime,Government and defense-sector targets,Runtime-generated malicious commands and data-exfiltration actions,LLM-powered malware execution,Multiple security firms describe LAMEHUG as a malware family that offloads command generation to a remote LLM during execution.,https://www.picussecurity.com/resource/blog/lamehug-the-first-publicly-documented-case-of-a-malware-integrating-a-llm https://www.catonetworks.com/blog/cato-ctrl-threat-research-analyzing-lamehug/,Widely cited named AI-enabled malware case.,Shivansh Sahni,Criminal AI,"{""gate_1"": true, ""gate_2"": true, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": false, ""exclusion_3"": false}",True,LAMEHUG
MalTerminal,4A,Automated Cyberattack Tools,Cyber and Infrastructure Harm,No public product site; malware family identified by defenders,Operators unknown; sample analyzed by SentinelLABS,No public tagline found,Query GPT-4 during runtime to generate ransomware and reverse-shell logic,Compromised hosts and ransomware victims,AI-generated ransomware payloads and reverse-shell code,Ransomware acceleration,SentinelOne and follow-on reporting describe MalTerminal as GPT-4-powered malware capable of generating malicious logic in real time.,https://www.sentinelone.com/labs/prompts-as-code-embedded-keys-the-hunt-for-llm-enabled-malware/ https://thehackernews.com/2025/09/researchers-uncover-gpt-4-powered.html,Included as a named AI-enabled malware family.,Shivansh Sahni,Criminal AI,"{""gate_1"": true, ""gate_2"": true, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": false, ""exclusion_3"": false}",True,MalTerminal
PromptLock,4A,Automated Cyberattack Tools,Cyber and Infrastructure Harm,No public product site; malware/ransomware sample identified by defenders,Threat actor unknown,No public tagline found,Generate malicious Lua scripts at runtime to support cross-platform ransomware behavior,Windows and Linux systems,"Ransomware logic, reconnaissance, exfiltration, and encryption scripts",AI-assisted ransomware,Google and SentinelOne reporting identify PromptLock as AI-enabled ransomware that dynamically generates parts of its malicious workflow.,https://cloud.google.com/blog/topics/threat-intelligence/threat-actor-usage-of-ai-tools https://www.sentinelone.com/labs/prompts-as-code-embedded-keys-the-hunt-for-llm-enabled-malware/,Named AI-assisted ransomware case.,Shivansh Sahni,Criminal AI,"{""gate_1"": true, ""gate_2"": true, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": false, ""exclusion_3"": false}",True,PromptLock
Meliorator,1A,Automated Disinformation Systems,Information and Perception Manipulation,No public product site; covert software used across fake social-media personas,RT affiliates / Russian state-linked operators,AI-enhanced software for foreign malign influence,Create fictitious personas and operate a bot farm to spread disinformation,Social-media users and democratic publics,"Fake personas, coordinated posts, and influence narratives",State-backed propaganda and influence operations,A joint cyber advisory and DOJ action describe Meliorator as covert AI-enhanced software used to generate fake personas and spread Russian disinformation.,https://www.ic3.gov/CSA/2024/240709.pdf https://www.justice.gov/archives/opa/pr/justice-department-leads-efforts-among-federal-international-and-private-sector-partners,Clear information-manipulation entry.,Shivansh Sahni,Criminal AI,"{""gate_1"": true, ""gate_2"": true, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": false, ""exclusion_3"": false}",True,Meliorator
Pravda Network,1A,Automated Disinformation Systems,Information and Perception Manipulation,No single stable public website; distributed network of propaganda sites,Russian influence operators linked to John Mark Dougan ecosystem,No public tagline found,Flood the web with propaganda content to influence readers and contaminate AI outputs,"News consumers, model users, and downstream information systems",High-volume propaganda articles and AI-visible web content,Propaganda laundering and model poisoning,NewsGuard reported that the Pravda network published propaganda at industrial scale and poisoned leading AI chatbots with repeated false narratives.,https://www.newsguardtech.com/press/russias-pravda-disinformation-network-is-poisoning-western-ai-models/ https://www.newsguardtech.com/special-reports/moscow-based-global-news-network-infected-western-artificial-intelligence-russian-propaganda,Useful for the information/perception category.,Shivansh Sahni,Criminal AI,"{""gate_1"": true, ""gate_2"": true, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": false, ""exclusion_3"": false}",True,Pravda Network
